City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susaki,33.37,133.28,73.4,69,75,4.7,JP,1590463638
1,ushuaia,-54.8,-68.3,46.4,61,90,18.34,AR,1590463485
2,svay rieng,11.09,105.8,90.14,60,74,3.78,KH,1590463639
3,nhulunbuy,-12.23,136.77,78.8,57,40,13.87,AU,1590463518
4,ponta delgada,37.73,-25.67,64.4,82,20,11.41,PT,1590463639
5,dikson,73.51,80.55,29.28,95,100,18.9,RU,1590463639
6,busselton,-33.65,115.33,61.0,85,100,1.99,AU,1590463639
7,srednekolymsk,67.45,153.68,55.42,36,97,6.22,RU,1590463640
8,buchanan,5.88,-10.05,78.93,86,26,8.08,LR,1590463640
9,constitucion,-35.33,-72.42,62.15,42,0,6.67,CL,1590463640
10,hithadhoo,-0.6,73.08,83.5,74,77,8.08,MV,1590463640
11,vostok,46.49,135.88,57.24,69,74,7.45,RU,1590463640
12,bengkulu,-3.8,102.27,85.86,63,98,1.45,ID,1590463641
13,qaanaaq,77.48,-69.36,25.84,90,81,0.85,GL,1590463641
14,arman,59.7,150.17,43.97,70,94,7.47,RU,1590463641
15,punta arenas,-53.15,-70.92,44.6,81,90,20.8,CL,1590463641
16,merauke,-8.47,140.33,81.32,81,62,10.65,ID,1590463506
17,kodiak,57.79,-152.41,53.6,50,75,12.75,US,1590463642
18,ucluelet,48.93,-125.55,55.0,82,9,8.28,CA,1590463556
19,walvis bay,-22.96,14.51,46.4,87,0,5.82,NA,1590463642
20,gondar,12.6,37.47,62.28,69,1,4.63,ET,1590463642
21,puerto ayora,-0.74,-90.35,73.0,92,21,1.01,EC,1590463643
22,hualmay,-11.1,-77.61,65.57,83,88,3.49,PE,1590463643
23,new norfolk,-42.78,147.06,54.0,55,0,1.99,AU,1590463643
24,yellowknife,62.46,-114.35,46.4,45,20,5.82,CA,1590463643
25,upernavik,72.79,-56.15,29.75,98,100,13.18,GL,1590463644
26,hobart,-42.88,147.33,54.0,62,20,3.36,AU,1590463461
27,tainan,22.99,120.21,80.6,88,75,11.41,TW,1590463644
28,codrington,-38.27,141.97,59.11,58,100,12.44,AU,1590463644
29,san patricio,19.22,-104.7,70.45,78,10,5.12,MX,1590463644
30,atuona,-9.8,-139.03,80.65,76,43,16.04,PF,1590463645
31,saint-philippe,-21.36,55.77,73.4,73,90,19.46,RE,1590463645
32,san carlos de bariloche,-41.15,-71.31,44.01,74,79,9.17,AR,1590463645
33,verkhnevilyuysk,63.45,120.32,79.81,30,30,11.72,RU,1590463645
34,coihaique,-45.58,-72.07,44.6,75,63,3.36,CL,1590463646
35,pochutla,15.74,-96.47,80.01,80,52,6.69,MX,1590463646
36,mahebourg,-20.41,57.7,73.4,73,75,13.87,MU,1590463646
37,sechura,-5.56,-80.82,70.81,76,19,10.65,PE,1590463646
38,barrow,71.29,-156.79,30.2,100,90,5.06,US,1590463647
39,arraial do cabo,-22.97,-42.03,62.6,88,52,3.36,BR,1590463647
40,sao sebastiao,-23.76,-45.41,63.45,65,0,7.9,BR,1590463647
41,broken hill,-31.95,141.43,59.0,44,97,10.29,AU,1590463647
42,hermanus,-34.42,19.23,46.99,99,97,1.01,ZA,1590463648
43,natal,-5.79,-35.21,77.0,94,43,3.36,BR,1590463648
44,pevek,69.7,170.31,31.69,96,43,2.59,RU,1590463648
45,khatanga,71.97,102.5,36.19,94,100,15.1,RU,1590463648
46,georgetown,5.41,100.34,78.8,94,40,3.36,MY,1590463648
47,penzance,50.12,-5.54,53.01,93,25,4.7,GB,1590463649
48,weatherford,32.76,-97.8,66.99,91,5,4.47,US,1590463649
49,kaitangata,-46.28,169.85,53.01,69,64,5.01,NZ,1590463649
50,cape town,-33.93,18.42,51.01,100,75,8.05,ZA,1590463383
51,cidreira,-30.18,-50.21,59.2,71,73,21.7,BR,1590463650
52,bideford,51.02,-4.2,50.0,92,92,1.99,GB,1590463650
53,rikitea,-23.12,-134.97,73.85,73,50,21.85,PF,1590463650
54,klaksvik,62.23,-6.59,48.2,93,45,18.34,FO,1590463650
55,bluff,-46.6,168.33,52.65,82,42,7.76,NZ,1590463651
56,monrovia,6.3,-10.8,79.57,84,21,8.28,LR,1590463651
57,namatanai,-3.67,152.43,86.16,65,60,6.85,PG,1590463651
58,hilo,19.73,-155.09,80.6,61,90,8.05,US,1590463651
